Player,#,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Youssef En-Nesyri,19,FW,25-199,90,16,13,3,0,0,0,0,0,0,0,0,0,10,0,0
Sofiane Boufal,17,LW,29-091,63,21,21,0,0,0,1,1,0,0,0,0,0,16,0,1
   Anass Zaroury,10,LW,22-040,27,13,13,0,0,0,0,3,0,0,0,0,0,8,0,1
Hakim Ziyech,7,RW,29-273,90,70,60,10,6,0,5,5,1,3,1,1,0,53,0,1
Abdelhamid Sabiri,11,LM,26-019,45,10,10,0,0,0,0,0,0,0,0,0,0,9,0,0
   Ilias Chair,13,"LM,RM",25-048,45,15,15,0,0,0,0,2,0,0,0,0,0,13,0,0
Sofyan Amrabat,4,"CM,CB",26-118,90,51,46,3,3,0,1,0,0,0,0,0,0,44,2,0
Bilal El Khannouss,23,"RM,LM",18-221,55,24,24,0,0,0,1,0,0,0,0,0,0,20,0,3
   Azzedine Ounahi,8,"CM,LM",22-242,35,26,24,2,1,0,0,0,1,0,0,0,0,24,0,0
Yahya Attiat Allah,25,LB,27-290,90,49,45,4,0,0,0,3,4,0,0,0,0,39,0,0
Achraf Dari,20,CB,23-225,63,31,30,1,1,0,0,0,0,0,0,0,0,29,0,0
   Badr Banoun,24,CB,29-078,27,21,20,1,1,0,0,0,0,0,0,0,0,21,0,0
Jawad El Yamiq,18,CB,30-291,65,35,35,0,0,0,0,0,0,0,0,0,0,31,0,0
   Selim Amallah,15,RM,26-032,25,16,16,0,0,0,0,1,0,0,0,0,0,11,0,0
Achraf Hakimi,2,RB,24-043,90,71,58,13,0,0,2,3,13,0,0,0,0,60,0,1
Yassine Bounou,1,GK,31-256,90,45,31,14,3,0,1,0,0,0,0,0,0,39,0,